customer_id,customer_name,city,customer_type,bookings,revenue,average_rating
40,Swathi K,Bangalore,Leisure,1,32000.0,5.0
45,Sanjay M,Chennai,Business,1,32000.0,5.0
17,Naveen Raj,Kochi,Business,1,32000.0,5.0
3,Rahul Raj,Coimbatore,Business,1,26000.0,5.0
12,Lakshmi Priya,Madurai,Leisure,1,26000.0,4.0
6,Divya Mohan,Kochi,Leisure,1,26000.0,5.0
9,Suresh Babu,Bangalore,Business,1,26000.0,5.0
37,Vignesh R,Coimbatore,Business,1,26000.0,5.0
20,Harini M,Chennai,Leisure,1,26000.0,5.0
48,Maya S,Madurai,Leisure,1,26000.0,5.0
26,Ramya Krishnan,Kochi,Leisure,1,26000.0,5.0
23,Deepak R,Coimbatore,Business,1,24000.0,5.0
43,Hari Prasad,Coimbatore,Business,1,24000.0,5.0
11,Ravi Shankar,Coimbatore,Business,1,24000.0,5.0
31,Vasanth K,Madurai,Business,1,19500.0,5.0
30,Shalini R,Coimbatore,Leisure,1,16000.0,4.0
22,Nandhini S,Bangalore,Leisure,1,16000.0,5.0
33,Ramesh B,Bangalore,Business,1,16000.0,5.0
25,Mohan Das,Chennai,Business,1,16000.0,4.0
50,Roshini P,Chennai,Leisure,1,12000.0,4.0
2,Priya Sharma,Bangalore,Leisure,1,12000.0,4.0
47,Dharun K,Hyderabad,Business,1,12000.0,5.0
42,Bhavana S,Hyderabad,Leisure,1,12000.0,5.0
5,Vijay Kumar,Chennai,Business,1,12000.0,4.0
16,Aishwarya K,Coimbatore,Leisure,1,12000.0,4.0
14,Keerthana R,Chennai,Leisure,1,12000.0,4.0
19,Surya Prakash,Madurai,Business,1,12000.0,4.0
28,Janani S,Hyderabad,Leisure,1,12000.0,5.0
36,Deepa M,Madurai,Leisure,1,12000.0,5.0
15,Pradeep S,Bangalore,Business,1,10000.0,5.0
1,Arun Kumar,Chennai,Business,1,7500.0,5.0
7,Karthik S,Madurai,Business,1,7500.0,4.0
10,Meena Devi,Chennai,Leisure,1,7500.0,4.0
21,Ajay Kumar,Hyderabad,Business,1,7500.0,4.0
27,Gokul M,Bangalore,Business,1,7500.0,4.0
32,Kavya Nair,Kochi,Leisure,1,7500.0,4.0
38,Reshma P,Kochi,Leisure,1,7500.0,4.0
35,Sathish Kumar,Hyderabad,Business,1,7500.0,4.0
41,Ganesh R,Madurai,Business,1,7500.0,4.0
46,Nisha R,Bangalore,Leisure,1,7500.0,4.0
